,Article 1,Article 2,Article 3,Article 4,Article 5,Article 6,Article 7,Article 8,Article 9,Article 10
plan,0,0,0,0,0,0,0,2,0,0
point,0,1,0,0,0,0,0,0,0,0
police,0,0,0,0,0,0,0,1,0,0
power,0,0,0,0,1,0,0,0,0,0
president,1,0,0,0,0,0,0,0,0,0
price,2,0,1,1,0,1,0,0,0,0
prime,0,0,0,0,0,0,0,1,2,0
produce,0,0,1,0,0,0,1,0,0,0
product,1,0,0,0,0,0,0,0,0,0
progress,0,0,0,0,0,0,1,0,0,0
provide,0,0,0,0,0,0,0,0,1,0
public,2,0,0,0,0,0,0,0,0,0
pull,0,0,0,0,1,0,0,0,0,0
push,0,0,0,0,0,0,1,0,0,0
quality,0,0,1,0,0,0,0,0,0,0
queue,0,0,0,1,0,0,0,0,0,0
rafique,0,0,0,0,2,0,0,2,0,0
rail,0,0,0,0,1,0,0,0,0,0
railway,0,0,0,0,3,0,0,5,0,0
raise,0,0,0,0,0,0,0,1,0,0
rare,0,0,0,1,0,0,0,0,0,0
rat,0,0,1,0,0,0,0,0,0,0
rate,0,0,1,0,0,0,0,0,2,0
reach,0,0,0,1,0,0,0,0,1,0
reason,0,0,0,1,0,0,0,0,0,0
recent,0,0,0,1,0,0,0,0,0,0
reduce,0,0,0,0,0,0,0,0,2,0
reduction,2,0,0,0,0,0,0,0,0,0
refuse,1,0,0,0,0,0,0,0,0,0
relief,0,0,0,0,0,0,0,0,1,0
report,1,0,0,0,0,0,2,0,0,0
require,0,0,0,0,1,0,0,0,0,0
reserve,0,0,0,0,0,0,0,0,0,1
restraint,0,0,0,1,0,0,0,0,0,0
resumption,0,0,2,0,0,0,0,0,0,0
reveal,0,0,0,0,0,0,0,0,1,0
revenue,0,0,0,0,0,0,0,0,1,0
rickshaw,1,0,0,0,0,0,0,0,0,0
room,0,0,0,0,0,1,0,0,0,0
run,1,0,0,0,0,0,0,0,0,0
saad,0,0,0,0,1,0,0,2,0,0
salary,0,0,0,0,0,0,0,2,0,0
sale,0,0,1,0,0,0,0,0,0,0
san,0,0,0,0,0,0,1,0,0,0
say,3,0,1,2,1,0,2,2,1,2
scrap,0,0,0,0,0,0,1,0,0,0
seemingly,0,0,0,0,0,0,1,0,0,0
seng,0,1,0,0,0,0,0,0,0,0
service,0,0,0,0,0,0,0,1,0,0
shahid,0,0,0,1,0,0,0,0,0,0
share,0,1,0,0,0,0,0,0,0,0
sharif,0,0,0,0,0,0,0,0,1,0
shipment,0,0,0,2,2,0,0,0,0,0
shortage,0,0,0,2,0,0,0,0,0,0
shortfall,0,0,0,0,1,0,0,0,0,0
sindh,1,0,2,0,0,0,0,0,0,0
situation,0,0,0,2,0,0,0,0,0,0
soon,0,0,0,1,0,0,0,0,0,0
source,1,0,0,1,0,0,0,0,1,0
stabilise,0,0,1,0,0,0,0,0,0,0
stable,0,0,0,0,0,0,0,0,0,1
stand,0,0,0,0,0,1,0,0,0,0
state,0,0,0,1,0,0,0,0,0,0
statement,0,0,0,0,0,0,0,1,0,0
station,0,0,0,1,0,0,0,0,0,0
still,0,0,0,0,1,0,0,0,0,0
strategy,0,0,0,0,0,0,0,0,1,0
street,0,1,0,0,0,0,0,0,0,0
strength,0,0,0,0,1,0,0,0,0,0
sugar,0,0,7,0,0,0,0,0,0,0
summary,0,0,0,0,0,0,0,1,0,0
sunday,0,0,0,0,0,0,0,0,0,1
supply,0,0,1,0,0,0,0,0,0,0
sydney,0,0,0,0,0,1,0,0,0,0
take,0,0,0,1,0,1,0,0,0,0
target,0,0,0,0,0,0,1,0,0,0
tax,0,0,0,0,0,0,0,0,2,0
taxi,1,0,0,0,0,1,0,0,0,0
team,0,0,0,0,0,0,1,0,0,0
tell,0,0,0,1,1,0,0,0,0,0
ten,0,0,0,1,0,0,0,0,0,0
tepid,0,1,0,0,0,0,0,0,0,0
throng,0,0,0,0,0,1,0,0,0,0
thursday,0,0,0,1,0,0,0,0,0,0
ticket,0,0,0,0,0,1,0,0,0,0
total,0,0,0,0,1,0,0,0,0,0
train,0,0,0,0,0,0,0,1,0,0
transport,3,0,0,0,0,0,0,0,0,0
transporter,1,0,0,0,0,0,0,0,0,0
travel,1,0,0,0,0,1,0,0,0,0
tuesday,0,0,0,0,0,0,0,1,1,0
two,0,0,1,0,0,1,0,0,0,0
unable,0,0,0,1,0,0,0,0,0,0
unhappy,0,0,0,0,0,0,1,0,0,0
use,0,0,0,0,1,0,0,0,0,0
vehicle,1,0,0,1,0,0,1,0,0,0
vice,0,0,0,0,0,0,0,0,0,1
visible,0,0,0,1,0,0,0,0,0,0
wall,0,1,0,0,0,0,0,0,0,0
week,0,1,0,0,0,0,0,0,0,0
well,0,0,1,0,0,0,0,0,0,0
whole,0,0,1,0,0,0,0,0,0,0
wholesale,0,0,1,0,0,0,0,0,0,0
within,0,0,1,0,0,0,0,0,0,0
witness,0,0,0,0,0,0,0,1,0,0
worker,0,0,0,0,0,0,0,1,0,0
world,0,0,0,0,0,3,0,0,0,0
would,0,0,0,1,0,0,0,0,1,0
year,0,1,0,0,0,0,0,0,0,0
yi,0,0,0,0,0,0,0,0,0,2
yuan,0,0,0,0,0,0,0,0,0,2
